net,length_um
clknet_3_5_0_clk,151.55
_0308_,151.005
_0460_,150.92
_0556_,149.44
clknet_3_0_0_clk,148.65
clknet_3_7_0_clk,146.69
clknet_3_2_0_clk,146.21
clknet_3_6_0_clk,145.93
_0616_,145.82
clknet_3_4_0_clk,145.71
_0584_,145.58
_0362_,145.14
_0554_,144.78
_0445_,143.08
_0075_,140.68
_0086_,138.78
_0496_,138.38
_0557_,137.94
_0235_,136.51
_0491_,136.3
_0270_,135.32
clknet_3_1_0_clk,134.03
clknet_3_3_0_clk,132.89
_0209_,132.74
_0023_,131.76
_0305_,130.92
_0426_,130.66
_0350_,127.08
_0346_,126.98
_0021_,125.86
_0181_,124.04
_0576_,123.5
_0093_,121.9
_0201_,121.895
_0310_,121.82
_0561_,121.02
_0173_,120.135
_0344_,118.46
_0580_,117.94
_0399_,116.08
_0435_,115.94
_0006_,113.94
_0457_,113.82
_0418_,113.14
_0477_,112.58
_0072_,112.14
_0054_,110.34
_0456_,110.34
_0538_,109.82
_0243_,109.24
_0058_,108.76
_0469_,106.56
_0321_,105.36
_0428_,104.74
_0251_,104.2
_0293_,104.1
_0545_,103.865
_0591_,103.54
_0302_,102.395
_0571_,99.66
_0423_,99.64
_0546_,97.64
_0079_,95.46
_0130_,94.98
_0114_,94.66
_0323_,94.34
_0261_,92.32
_0296_,83.2
_0059_,83.04
_0519_,81.72
_0027_,80.3
_0124_,78.94
_0525_,78.34
_0268_,78.29
_0587_,76.76
_0586_,75.08
_0022_,71.6
_0558_,71.045
_0068_,65.685
_0361_,64.12
_0094_,62.26
_0050_,61.7
_0421_,60.78
_0287_,60.68
_0388_,58.58
_0113_,55.78
_0115_,55.42
_0307_,49.68
_0035_,44.585
_0599_,38.82
_0053_,36.68
_0526_,33.22
_0265_,28.44
_0001_,25.98
A3[4],21.9
A3[1],18.22
_0303_,17.94
A1[0],17.66
A3[2],17.38
A2[4],16.4
A2[2],13.98
A2[0],12.14
WD3[0],11.48
A3[3],11.14
WD3[2],11.02
A1[2],10.76
A1[3],10.76
A1[4],10.76
A2[3],10.76
A1[1],10.42
A3[0],10.1
WE3,9.94
WD3[3],9.18
inputB[1],9.17
WD3[1],8.72
inputA[3],8.25
opcode[0],7.64
inputA[0],7.18
inputA[1],7.18
inputA[2],7.18
inputB[0],7.18
inputB[3],7.18
_0255_,7.06
inputB[2],6.72
opcode[1],6.72
_0051_,5.84
RD1[1],5.65
RD1[0],5.31
RD1[2],5.31
RD1[3],5.31
RD2[0],5.31
RD2[1],5.31
RD2[2],5.31
RD2[3],5.31
outputC[0],5.31
outputC[1],5.31
outputC[2],5.31
outputC[3],5.31
